KODE_JAGA_ORG,Index_name,Value24,Value23,Value22,Value21,data.instansi,PROVINSI.CLUSTER_KL,KODE_2
0000,Agregat,71.53,70.97,71.94,72.43,Seluruh K/L/PD Peserta SPI 2024,,
0000,Agregat (Sebelum Faktor Koreksi),75.99,75.55,77.36,76.55,Seluruh K/L/PD Peserta SPI 2024,,
0000,Eksper,69.68,65.59,72.47,73.16,Seluruh K/L/PD Peserta SPI 2024,,Eksper
0000,Eksternal,86.44,84.97,82.79,80.25,Seluruh K/L/PD Peserta SPI 2024,,Eksternal
0000,Faktor Koreksi (weighted),4.46,4.58,5.42,4.0,Seluruh K/L/PD Peserta SPI 2024,,Faktor Koreksi (weighted)
0000,Integritas Pelaksanaan SPI,3.38,4.09,3.77,1.86,Seluruh K/L/PD Peserta SPI 2024,,
0000,Internal,72.34,77.42,77.41,76.63,Seluruh K/L/PD Peserta SPI 2024,,Internal
0000,Prevalensi Korupsi,1.08,0.5,0.66,2.14,Seluruh K/L/PD Peserta SPI 2024,,
1100,Agregat,65.06,67.05,63.34,65.38,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,
1100,Agregat (Sebelum Faktor Koreksi),72.32,69.63,68.81,71.28,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,
1100,Eksper,64.92,58.23,57.04,66.36,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Eksper
1100,Eksternal,85.87,80.62,80.16,79.69,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Eksternal
1100,Faktor Koreksi (weighted),7.26,2.58,5.47,5.9,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Faktor Koreksi (weighted)
1100,Integritas Pelaksanaan SPI,4.23,2.08,3.13,2.48,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,
1100,Internal,66.66,71.54,70.8,68.16,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Internal
1100,Prevalensi Korupsi,3.04,0.5,2.34,3.42,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,
1101,Agregat,74.15,73.04,65.19,63.32,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,
1101,Agregat (Sebelum Faktor Koreksi),75.38,74.4,71.41,74.95,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,
1101,Eksper,70.39,64.99,63.68,69.51,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Eksper
1101,Eksternal,84.03,83.6,78.77,84.85,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Eksternal
1101,Faktor Koreksi (weighted),1.22,1.36,6.22,11.63,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Faktor Koreksi (weighted)
1101,Integritas Pelaksanaan SPI,1.22,1.36,4.49,4.88,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,
1101,Internal,72.07,75.84,72.82,70.85,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Internal
1101,Prevalensi Korupsi,0.0,0.0,1.73,6.75,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,
1102,Agregat,69.87,72.11,65.99,65.9,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,
1102,Agregat (Sebelum Faktor Koreksi),71.22,76.83,69.8,68.28,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,
1102,Eksper,68.19,75.19,64.25,65.89,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,Eksper
1102,Eksternal,80.4,82.83,78.24,71.22,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,Eksternal
