KODE_JAGA_ORG,Index_name,Value24,Value23,Value22,Value21,data.instansi,PROVINSI.CLUSTER_KL,KODE_2
0000,Eksper,69.68,65.59,72.47,73.16,Seluruh K/L/PD Peserta SPI 2024,,Eksper
0000,Integritas Pegawai,95.73,95.37,95.91,91.94,Seluruh K/L/PD Peserta SPI 2024,,Integritas Pegawai
1100,Eksper,64.92,58.23,57.04,66.36,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Eksper
1100,Integritas Pegawai,94.99,88.15,90.0,91.74,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Integritas Pegawai
1101,Eksper,70.39,64.99,63.68,69.51,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Eksper
1101,Integritas Pegawai,94.13,94.85,89.98,95.91,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Integritas Pegawai
1102,Eksper,68.19,75.19,64.25,65.89,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,Eksper
1102,Integritas Pegawai,86.84,95.45,91.71,84.33,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,Integritas Pegawai
1103,Eksper,68.0,66.34,86.24,74.29,PEMERINTAH KABUPATEN ACEH SELATAN,PROVINSI ACEH,Eksper
1103,Integritas Pegawai,96.1,94.82,93.19,90.72,PEMERINTAH KABUPATEN ACEH SELATAN,PROVINSI ACEH,Integritas Pegawai
1104,Eksper,70.49,59.91,66.42,58.25,PEMERINTAH KABUPATEN ACEH TENGGARA,PROVINSI ACEH,Eksper
1104,Integritas Pegawai,94.23,89.8,78.92,82.38,PEMERINTAH KABUPATEN ACEH TENGGARA,PROVINSI ACEH,Integritas Pegawai
1105,Eksper,62.46,68.69,60.5,83.28,PEMERINTAH KABUPATEN ACEH TIMUR,PROVINSI ACEH,Eksper
1105,Integritas Pegawai,93.63,95.89,91.18,91.38,PEMERINTAH KABUPATEN ACEH TIMUR,PROVINSI ACEH,Integritas Pegawai
1106,Eksper,57.82,56.69,71.92,64.26,PEMERINTAH KABUPATEN ACEH TENGAH,PROVINSI ACEH,Eksper
1106,Integritas Pegawai,95.01,97.07,94.32,97.03,PEMERINTAH KABUPATEN ACEH TENGAH,PROVINSI ACEH,Integritas Pegawai
1107,Eksper,64.0,64.3,73.66,74.86,PEMERINTAH KABUPATEN ACEH BARAT,PROVINSI ACEH,Eksper
1107,Integritas Pegawai,95.98,97.46,98.76,86.44,PEMERINTAH KABUPATEN ACEH BARAT,PROVINSI ACEH,Integritas Pegawai
1108,Eksper,67.68,63.47,57.66,65.63,PEMERINTAH KABUPATEN ACEH BESAR,PROVINSI ACEH,Eksper
1108,Integritas Pegawai,96.12,97.73,99.06,95.57,PEMERINTAH KABUPATEN ACEH BESAR,PROVINSI ACEH,Integritas Pegawai
1109,Eksper,68.06,70.74,64.23,60.89,PEMERINTAH KABUPATEN PIDIE,PROVINSI ACEH,Eksper
1109,Integritas Pegawai,96.21,95.88,94.44,96.69,PEMERINTAH KABUPATEN PIDIE,PROVINSI ACEH,Integritas Pegawai
1110,Eksper,63.83,65.79,63.68,69.17,PEMERINTAH KABUPATEN BIREUEN,PROVINSI ACEH,Eksper
1110,Integritas Pegawai,96.92,93.31,86.01,89.54,PEMERINTAH KABUPATEN BIREUEN,PROVINSI ACEH,Integritas Pegawai
1111,Eksper,66.22,64.87,69.14,63.69,PEMERINTAH KABUPATEN ACEH UTARA,PROVINSI ACEH,Eksper
1111,Integritas Pegawai,92.65,93.41,92.41,95.15,PEMERINTAH KABUPATEN ACEH UTARA,PROVINSI ACEH,Integritas Pegawai
1112,Eksper,70.07,70.92,74.95,78.53,PEMERINTAH KABUPATEN ACEH BARAT DAYA,PROVINSI ACEH,Eksper
1112,Integritas Pegawai,91.24,97.88,97.03,99.46,PEMERINTAH KABUPATEN ACEH BARAT DAYA,PROVINSI ACEH,Integritas Pegawai
1113,Eksper,70.91,61.58,77.89,76.12,PEMERINTAH KABUPATEN GAYO LUES,PROVINSI ACEH,Eksper
1113,Integritas Pegawai,95.08,96.63,92.93,98.0,PEMERINTAH KABUPATEN GAYO LUES,PROVINSI ACEH,Integritas Pegawai
1114,Eksper,59.12,61.13,62.09,75.3,PEMERINTAH KABUPATEN ACEH TAMIANG,PROVINSI ACEH,Eksper
1114,Integritas Pegawai,90.56,96.39,91.09,84.75,PEMERINTAH KABUPATEN ACEH TAMIANG,PROVINSI ACEH,Integritas Pegawai
1115,Eksper,58.16,63.09,76.98,64.96,PEMERINTAH KABUPATEN NAGAN RAYA,PROVINSI ACEH,Eksper
1115,Integritas Pegawai,91.85,97.11,94.63,97.2,PEMERINTAH KABUPATEN NAGAN RAYA,PROVINSI ACEH,Integritas Pegawai
1116,Eksper,66.44,60.42,74.53,67.27,PEMERINTAH KABUPATEN ACEH JAYA,PROVINSI ACEH,Eksper
1116,Integritas Pegawai,95.57,97.98,97.85,93.36,PEMERINTAH KABUPATEN ACEH JAYA,PROVINSI ACEH,Integritas Pegawai
1117,Eksper,70.55,70.2,64.93,71.44,PEMERINTAH KABUPATEN BENER MERIAH,PROVINSI ACEH,Eksper
1117,Integritas Pegawai,96.48,97.15,96.27,89.63,PEMERINTAH KABUPATEN BENER MERIAH,PROVINSI ACEH,Integritas Pegawai
1118,Eksper,73.08,69.06,75.19,77.0,PEMERINTAH KABUPATEN PIDIE JAYA,PROVINSI ACEH,Eksper
1118,Integritas Pegawai,94.42,95.38,93.81,77.93,PEMERINTAH KABUPATEN PIDIE JAYA,PROVINSI ACEH,Integritas Pegawai
1171,Eksper,68.12,66.01,77.67,81.36,PEMERINTAH KOTA BANDA ACEH,PROVINSI ACEH,Eksper
1171,Integritas Pegawai,94.16,96.4,95.77,91.52,PEMERINTAH KOTA BANDA ACEH,PROVINSI ACEH,Integritas Pegawai
1172,Eksper,67.73,65.95,73.99,82.05,PEMERINTAH KOTA SABANG,PROVINSI ACEH,Eksper
1172,Integritas Pegawai,95.78,98.32,95.31,100.0,PEMERINTAH KOTA SABANG,PROVINSI ACEH,Integritas Pegawai
1173,Eksper,77.29,73.78,79.13,80.07,PEMERINTAH KOTA LANGSA,PROVINSI ACEH,Eksper
1173,Integritas Pegawai,92.61,95.55,92.76,47.54,PEMERINTAH KOTA LANGSA,PROVINSI ACEH,Integritas Pegawai
1174,Eksper,63.94,60.58,65.57,66.94,PEMERINTAH KOTA LHOKSEUMAWE,PROVINSI ACEH,Eksper
1174,Integritas Pegawai,97.28,96.8,95.62,83.42,PEMERINTAH KOTA LHOKSEUMAWE,PROVINSI ACEH,Integritas Pegawai
1175,Eksper,66.35,56.0,66.97,72.1,PEMERINTAH KOTA SUBULUSSALAM,PROVINSI ACEH,Eksper
1175,Integritas Pegawai,92.63,90.7,97.45,72.22,PEMERINTAH KOTA SUBULUSSALAM,PROVINSI ACEH,Integritas Pegawai
1200,Eksper,56.11,62.3,64.05,64.7,PEMERINTAH PROVINSI SUMATERA UTARA,PROVINSI SUMATERA UTARA,Eksper
1200,Integritas Pegawai,92.44,94.24,92.86,93.54,PEMERINTAH PROVINSI SUMATERA UTARA,PROVINSI SUMATERA UTARA,Integritas Pegawai
1201,Eksper,75.93,71.08,68.24,79.1,PEMERINTAH KABUPATEN NIAS,PROVINSI SUMATERA UTARA,Eksper
1201,Integritas Pegawai,98.08,98.07,96.62,94.45,PEMERINTAH KABUPATEN NIAS,PROVINSI SUMATERA UTARA,Integritas Pegawai
1202,Eksper,50.62,60.6,58.93,54.88,PEMERINTAH KABUPATEN MANDAILING NATAL,PROVINSI SUMATERA UTARA,Eksper
1202,Integritas Pegawai,86.47,92.93,87.91,95.28,PEMERINTAH KABUPATEN MANDAILING NATAL,PROVINSI SUMATERA UTARA,Integritas Pegawai
1203,Eksper,78.57,79.17,82.37,75.93,PEMERINTAH KABUPATEN TAPANULI SELATAN,PROVINSI SUMATERA UTARA,Eksper
1203,Integritas Pegawai,95.97,95.41,97.73,95.47,PEMERINTAH KABUPATEN TAPANULI SELATAN,PROVINSI SUMATERA UTARA,Integritas Pegawai
1204,Eksper,64.33,70.11,74.51,76.77,PEMERINTAH KABUPATEN TAPANULI TENGAH,PROVINSI SUMATERA UTARA,Eksper
1204,Integritas Pegawai,93.19,92.44,98.7,90.3,PEMERINTAH KABUPATEN TAPANULI TENGAH,PROVINSI SUMATERA UTARA,Integritas Pegawai
1205,Eksper,62.44,67.53,73.27,71.29,PEMERINTAH KABUPATEN TAPANULI UTARA,PROVINSI SUMATERA UTARA,Eksper
1205,Integritas Pegawai,95.57,93.69,94.69,90.96,PEMERINTAH KABUPATEN TAPANULI UTARA,PROVINSI SUMATERA UTARA,Integritas Pegawai
1206,Eksper,72.05,60.77,64.72,71.04,PEMERINTAH KABUPATEN TOBA,PROVINSI SUMATERA UTARA,Eksper
1206,Integritas Pegawai,93.82,90.19,96.24,80.28,PEMERINTAH KABUPATEN TOBA,PROVINSI SUMATERA UTARA,Integritas Pegawai
1207,Eksper,60.14,68.2,71.45,61.17,PEMERINTAH KABUPATEN LABUHANBATU,PROVINSI SUMATERA UTARA,Eksper
1207,Integritas Pegawai,89.52,95.34,91.8,82.06,PEMERINTAH KABUPATEN LABUHANBATU,PROVINSI SUMATERA UTARA,Integritas Pegawai
1208,Eksper,69.55,63.12,68.05,79.43,PEMERINTAH KABUPATEN ASAHAN,PROVINSI SUMATERA UTARA,Eksper
1208,Integritas Pegawai,95.77,96.94,97.82,96.25,PEMERINTAH KABUPATEN ASAHAN,PROVINSI SUMATERA UTARA,Integritas Pegawai
1209,Eksper,66.73,64.97,63.6,55.47,PEMERINTAH KABUPATEN SIMALUNGUN,PROVINSI SUMATERA UTARA,Eksper
1209,Integritas Pegawai,85.44,93.84,96.42,83.6,PEMERINTAH KABUPATEN SIMALUNGUN,PROVINSI SUMATERA UTARA,Integritas Pegawai
1210,Eksper,73.37,56.88,71.52,73.04,PEMERINTAH KABUPATEN DAIRI,PROVINSI SUMATERA UTARA,Eksper
1210,Integritas Pegawai,92.29,96.28,94.22,96.05,PEMERINTAH KABUPATEN DAIRI,PROVINSI SUMATERA UTARA,Integritas Pegawai
1211,Eksper,76.57,66.64,71.68,72.21,PEMERINTAH KABUPATEN KARO,PROVINSI SUMATERA UTARA,Eksper
1211,Integritas Pegawai,96.82,96.58,96.37,89.24,PEMERINTAH KABUPATEN KARO,PROVINSI SUMATERA UTARA,Integritas Pegawai
1212,Eksper,67.19,62.33,76.17,85.48,PEMERINTAH KABUPATEN DELI SERDANG,PROVINSI SUMATERA UTARA,Eksper
1212,Integritas Pegawai,89.01,93.85,93.31,80.03,PEMERINTAH KABUPATEN DELI SERDANG,PROVINSI SUMATERA UTARA,Integritas Pegawai
1213,Eksper,68.67,66.53,65.88,77.44,PEMERINTAH KABUPATEN LANGKAT,PROVINSI SUMATERA UTARA,Eksper
1213,Integritas Pegawai,92.83,94.94,96.72,94.37,PEMERINTAH KABUPATEN LANGKAT,PROVINSI SUMATERA UTARA,Integritas Pegawai
1214,Eksper,73.77,72.95,83.26,63.51,PEMERINTAH KABUPATEN NIAS SELATAN,PROVINSI SUMATERA UTARA,Eksper
1214,Integritas Pegawai,94.34,96.52,96.42,91.04,PEMERINTAH KABUPATEN NIAS SELATAN,PROVINSI SUMATERA UTARA,Integritas Pegawai
1215,Eksper,61.54,55.38,66.65,65.64,PEMERINTAH KABUPATEN HUMBANG HASUNDUTAN,PROVINSI SUMATERA UTARA,Eksper
1215,Integritas Pegawai,94.36,96.67,95.64,91.44,PEMERINTAH KABUPATEN HUMBANG HASUNDUTAN,PROVINSI SUMATERA UTARA,Integritas Pegawai
1216,Eksper,78.37,72.43,80.65,78.51,PEMERINTAH KABUPATEN PAKPAK BHARAT,PROVINSI SUMATERA UTARA,Eksper
1216,Integritas Pegawai,94.19,96.46,97.53,96.2,PEMERINTAH KABUPATEN PAKPAK BHARAT,PROVINSI SUMATERA UTARA,Integritas Pegawai
1217,Eksper,59.06,51.6,66.19,58.43,PEMERINTAH KABUPATEN SAMOSIR,PROVINSI SUMATERA UTARA,Eksper
1217,Integritas Pegawai,96.48,97.71,97.31,94.43,PEMERINTAH KABUPATEN SAMOSIR,PROVINSI SUMATERA UTARA,Integritas Pegawai
1218,Eksper,78.66,75.63,89.52,71.36,PEMERINTAH KABUPATEN SERDANG BEDAGAI,PROVINSI SUMATERA UTARA,Eksper
1218,Integritas Pegawai,95.86,96.97,79.7,82.57,PEMERINTAH KABUPATEN SERDANG BEDAGAI,PROVINSI SUMATERA UTARA,Integritas Pegawai
1219,Eksper,65.83,67.91,88.16,74.43,PEMERINTAH KABUPATEN BATU BARA,PROVINSI SUMATERA UTARA,Eksper
1219,Integritas Pegawai,96.54,97.96,95.63,89.72,PEMERINTAH KABUPATEN BATU BARA,PROVINSI SUMATERA UTARA,Integritas Pegawai
1220,Eksper,68.04,67.65,80.03,75.92,PEMERINTAH KABUPATEN PADANG LAWAS UTARA,PROVINSI SUMATERA UTARA,Eksper
1220,Integritas Pegawai,95.78,96.91,89.44,79.67,PEMERINTAH KABUPATEN PADANG LAWAS UTARA,PROVINSI SUMATERA UTARA,Integritas Pegawai
1221,Eksper,77.66,68.67,79.62,70.92,PEMERINTAH KABUPATEN PADANG LAWAS,PROVINSI SUMATERA UTARA,Eksper
1221,Integritas Pegawai,92.98,91.68,87.7,90.64,PEMERINTAH KABUPATEN PADANG LAWAS,PROVINSI SUMATERA UTARA,Integritas Pegawai
1222,Eksper,76.13,61.11,70.22,76.74,PEMERINTAH KABUPATEN LABUHANBATU SELATAN,PROVINSI SUMATERA UTARA,Eksper
1222,Integritas Pegawai,96.05,96.94,94.49,93.28,PEMERINTAH KABUPATEN LABUHANBATU SELATAN,PROVINSI SUMATERA UTARA,Integritas Pegawai
1223,Eksper,75.4,67.41,72.08,68.18,PEMERINTAH KABUPATEN LABUHANBATU UTARA,PROVINSI SUMATERA UTARA,Eksper
1223,Integritas Pegawai,90.29,95.27,86.8,87.31,PEMERINTAH KABUPATEN LABUHANBATU UTARA,PROVINSI SUMATERA UTARA,Integritas Pegawai
1224,Eksper,67.47,67.1,68.91,57.57,PEMERINTAH KABUPATEN NIAS UTARA,PROVINSI SUMATERA UTARA,Eksper
1224,Integritas Pegawai,94.95,94.56,89.86,94.51,PEMERINTAH KABUPATEN NIAS UTARA,PROVINSI SUMATERA UTARA,Integritas Pegawai
1225,Eksper,69.1,64.4,75.5,57.55,PEMERINTAH KABUPATEN NIAS BARAT,PROVINSI SUMATERA UTARA,Eksper
1225,Integritas Pegawai,98.08,97.6,99.03,95.24,PEMERINTAH KABUPATEN NIAS BARAT,PROVINSI SUMATERA UTARA,Integritas Pegawai
1271,Eksper,69.94,63.98,69.32,74.59,PEMERINTAH KOTA SIBOLGA,PROVINSI SUMATERA UTARA,Eksper
1271,Integritas Pegawai,93.21,91.18,93.39,88.71,PEMERINTAH KOTA SIBOLGA,PROVINSI SUMATERA UTARA,Integritas Pegawai
1272,Eksper,68.71,60.58,65.97,65.8,PEMERINTAH KOTA TANJUNGBALAI,PROVINSI SUMATERA UTARA,Eksper
1272,Integritas Pegawai,95.54,97.34,93.12,95.01,PEMERINTAH KOTA TANJUNGBALAI,PROVINSI SUMATERA UTARA,Integritas Pegawai
1273,Eksper,66.44,68.07,68.1,66.5,PEMERINTAH KOTA PEMATANGSIANTAR,PROVINSI SUMATERA UTARA,Eksper
1273,Integritas Pegawai,93.0,89.14,93.36,93.97,PEMERINTAH KOTA PEMATANGSIANTAR,PROVINSI SUMATERA UTARA,Integritas Pegawai
1274,Eksper,77.59,61.37,71.17,80.12,PEMERINTAH KOTA TEBING TINGGI,PROVINSI SUMATERA UTARA,Eksper
1274,Integritas Pegawai,95.95,95.92,95.51,91.54,PEMERINTAH KOTA TEBING TINGGI,PROVINSI SUMATERA UTARA,Integritas Pegawai
1275,Eksper,65.11,60.42,66.6,61.06,PEMERINTAH KOTA MEDAN,PROVINSI SUMATERA UTARA,Eksper
1275,Integritas Pegawai,89.96,91.36,91.94,80.45,PEMERINTAH KOTA MEDAN,PROVINSI SUMATERA UTARA,Integritas Pegawai
1276,Eksper,70.14,73.7,80.15,71.71,PEMERINTAH KOTA BINJAI,PROVINSI SUMATERA UTARA,Eksper
1276,Integritas Pegawai,95.35,92.33,90.76,86.54,PEMERINTAH KOTA BINJAI,PROVINSI SUMATERA UTARA,Integritas Pegawai
1277,Eksper,58.78,57.92,77.92,71.71,PEMERINTAH KOTA PADANGSIDIMPUAN,PROVINSI SUMATERA UTARA,Eksper
1277,Integritas Pegawai,93.52,97.65,97.63,99.27,PEMERINTAH KOTA PADANGSIDIMPUAN,PROVINSI SUMATERA UTARA,Integritas Pegawai
1278,Eksper,69.76,69.92,82.59,82.19,PEMERINTAH KOTA GUNUNG SITOLI,PROVINSI SUMATERA UTARA,Eksper
