KODE_JAGA_ORG,Index_name,Value24,Value23,Value22,Value21,data.instansi,PROVINSI.CLUSTER_KL,KODE_2
0000,Eksternal,86.44,84.97,82.79,80.25,Seluruh K/L/PD Peserta SPI 2024,,Eksternal
0000,Integritas Pegawai,95.73,95.37,95.91,91.94,Seluruh K/L/PD Peserta SPI 2024,,Integritas Pegawai
0000,Transparansi dan Keadilan Layanan,82.5,80.22,75.56,78.03,Seluruh K/L/PD Peserta SPI 2024,,Transparansi dan Keadilan Layanan
0000,Upaya Pencegahan Korupsi,80.01,78.07,75.29,69.54,Seluruh K/L/PD Peserta SPI 2024,,Upaya Pencegahan Korupsi
1100,Eksternal,85.87,80.62,80.16,79.69,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Eksternal
1100,Integritas Pegawai,94.99,88.15,90.0,91.74,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Integritas Pegawai
1100,Transparansi dan Keadilan Layanan,78.36,76.13,75.55,78.22,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1100,Upaya Pencegahan Korupsi,82.98,76.62,73.75,67.89,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Upaya Pencegahan Korupsi
1101,Eksternal,84.03,83.6,78.77,84.85,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Eksternal
1101,Integritas Pegawai,94.13,94.85,89.98,95.91,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Integritas Pegawai
1101,Transparansi dan Keadilan Layanan,80.48,77.74,75.35,82.87,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1101,Upaya Pencegahan Korupsi,76.33,76.82,69.72,74.61,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Upaya Pencegahan Korupsi
1102,Eksternal,80.4,82.83,78.24,71.22,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,Eksternal
1102,Integritas Pegawai,86.84,95.45,91.71,84.33,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,Integritas Pegawai
1102,Transparansi dan Keadilan Layanan,77.54,77.94,72.36,71.36,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1102,Upaya Pencegahan Korupsi,76.06,73.66,69.06,56.72,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,Upaya Pencegahan Korupsi
1103,Eksternal,84.7,83.89,80.08,79.58,PEMERINTAH KABUPATEN ACEH SELATAN,PROVINSI ACEH,Eksternal
1103,Integritas Pegawai,96.1,94.82,93.19,90.72,PEMERINTAH KABUPATEN ACEH SELATAN,PROVINSI ACEH,Integritas Pegawai
1103,Transparansi dan Keadilan Layanan,80.08,78.21,75.15,79.81,PEMERINTAH KABUPATEN ACEH SELATAN,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1103,Upaya Pencegahan Korupsi,76.58,77.31,70.4,67.14,PEMERINTAH KABUPATEN ACEH SELATAN,PROVINSI ACEH,Upaya Pencegahan Korupsi
1104,Eksternal,87.65,82.07,70.51,76.36,PEMERINTAH KABUPATEN ACEH TENGGARA,PROVINSI ACEH,Eksternal
1104,Integritas Pegawai,94.23,89.8,78.92,82.38,PEMERINTAH KABUPATEN ACEH TENGGARA,PROVINSI ACEH,Integritas Pegawai
1104,Transparansi dan Keadilan Layanan,83.44,78.3,64.64,76.86,PEMERINTAH KABUPATEN ACEH TENGGARA,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1104,Upaya Pencegahan Korupsi,84.43,77.19,66.86,69.28,PEMERINTAH KABUPATEN ACEH TENGGARA,PROVINSI ACEH,Upaya Pencegahan Korupsi
1105,Eksternal,87.07,84.53,81.09,77.04,PEMERINTAH KABUPATEN ACEH TIMUR,PROVINSI ACEH,Eksternal
1105,Integritas Pegawai,93.63,95.89,91.18,91.38,PEMERINTAH KABUPATEN ACEH TIMUR,PROVINSI ACEH,Integritas Pegawai
1105,Transparansi dan Keadilan Layanan,82.71,80.07,72.85,73.93,PEMERINTAH KABUPATEN ACEH TIMUR,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1105,Upaya Pencegahan Korupsi,84.03,76.31,77.86,64.27,PEMERINTAH KABUPATEN ACEH TIMUR,PROVINSI ACEH,Upaya Pencegahan Korupsi
1106,Eksternal,85.41,85.33,80.05,85.8,PEMERINTAH KABUPATEN ACEH TENGAH,PROVINSI ACEH,Eksternal
1106,Integritas Pegawai,95.01,97.07,94.32,97.03,PEMERINTAH KABUPATEN ACEH TENGAH,PROVINSI ACEH,Integritas Pegawai
1106,Transparansi dan Keadilan Layanan,78.32,80.58,70.05,80.49,PEMERINTAH KABUPATEN ACEH TENGAH,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1106,Upaya Pencegahan Korupsi,81.62,76.98,73.9,78.53,PEMERINTAH KABUPATEN ACEH TENGAH,PROVINSI ACEH,Upaya Pencegahan Korupsi
1107,Eksternal,86.81,83.74,88.01,77.78,PEMERINTAH KABUPATEN ACEH BARAT,PROVINSI ACEH,Eksternal
1107,Integritas Pegawai,95.98,97.46,98.76,86.44,PEMERINTAH KABUPATEN ACEH BARAT,PROVINSI ACEH,Integritas Pegawai
1107,Transparansi dan Keadilan Layanan,83.03,82.58,81.56,78.22,PEMERINTAH KABUPATEN ACEH BARAT,PROVINSI ACEH,Transparansi dan Keadilan Layanan
