KODE_JAGA_ORG,Index_name,Value24,Value23,Value22,Value21,data.instansi,PROVINSI.CLUSTER_KL,KODE_2
0000,Integritas Dalam Pelaksanaan Tugas,74.08,83.14,83.54,85.31,Seluruh K/L/PD Peserta SPI 2024,,Integritas Dalam Pelaksanaan Tugas
0000,Internal,72.34,77.42,77.41,76.63,Seluruh K/L/PD Peserta SPI 2024,,Internal
0000,Pengelolaan Anggaran,70.84,84.54,85.23,85.19,Seluruh K/L/PD Peserta SPI 2024,,Pengelolaan Anggaran
0000,Pengelolaan PBJ,64.83,86.91,88.89,89.68,Seluruh K/L/PD Peserta SPI 2024,,Pengelolaan PBJ
0000,Pengelolaan SDM,65.93,72.31,72.88,68.74,Seluruh K/L/PD Peserta SPI 2024,,Pengelolaan SDM
0000,Perdagangan Pengaruh (Trading in Influence),78.83,72.19,71.06,70.35,Seluruh K/L/PD Peserta SPI 2024,,Perdagangan Pengaruh (Trading in Influence)
0000,Sosialisasi Antikorupsi,70.17,64.27,61.71,59.24,Seluruh K/L/PD Peserta SPI 2024,,Sosialisasi Antikorupsi
0000,Transparansi,83.48,82.27,82.71,82.6,Seluruh K/L/PD Peserta SPI 2024,,Transparansi
1100,Integritas Dalam Pelaksanaan Tugas,71.12,75.98,76.68,78.09,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Integritas Dalam Pelaksanaan Tugas
1100,Internal,66.66,71.54,70.8,68.16,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Internal
1100,Pengelolaan Anggaran,67.16,77.98,77.78,74.3,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Pengelolaan Anggaran
1100,Pengelolaan PBJ,56.94,80.71,81.79,78.72,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Pengelolaan PBJ
1100,Pengelolaan SDM,57.76,66.18,65.14,59.42,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Pengelolaan SDM
1100,Perdagangan Pengaruh (Trading in Influence),70.64,66.33,63.93,60.01,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Perdagangan Pengaruh (Trading in Influence)
1100,Sosialisasi Antikorupsi,65.73,59.03,56.14,55.59,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Sosialisasi Antikorupsi
1100,Transparansi,80.67,78.24,78.59,76.03,PEMERINTAH PROVINSI ACEH,PROVINSI ACEH,Transparansi
1101,Integritas Dalam Pelaksanaan Tugas,77.11,85.06,80.38,80.31,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Integritas Dalam Pelaksanaan Tugas
1101,Internal,72.07,75.84,72.82,70.85,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Internal
1101,Pengelolaan Anggaran,71.26,86.06,81.6,81.18,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Pengelolaan Anggaran
1101,Pengelolaan PBJ,70.61,88.57,85.78,84.31,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Pengelolaan PBJ
1101,Pengelolaan SDM,63.47,71.43,67.06,61.29,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Pengelolaan SDM
1101,Perdagangan Pengaruh (Trading in Influence),75.65,67.2,65.08,62.12,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Perdagangan Pengaruh (Trading in Influence)
1101,Sosialisasi Antikorupsi,66.62,55.97,56.52,55.22,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Sosialisasi Antikorupsi
1101,Transparansi,82.11,82.51,77.85,76.69,PEMERINTAH KABUPATEN SIMEULUE,PROVINSI ACEH,Transparansi
1102,Integritas Dalam Pelaksanaan Tugas,70.52,80.56,71.81,79.79,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,Integritas Dalam Pelaksanaan Tugas
1102,Internal,65.0,72.33,67.39,68.0,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,Internal
1102,Pengelolaan Anggaran,64.94,81.75,76.17,75.91,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,Pengelolaan Anggaran
1102,Pengelolaan PBJ,53.49,83.68,77.04,81.62,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,Pengelolaan PBJ
1102,Pengelolaan SDM,60.22,68.92,62.39,57.52,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,Pengelolaan SDM
1102,Perdagangan Pengaruh (Trading in Influence),71.04,62.43,60.43,57.19,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,Perdagangan Pengaruh (Trading in Influence)
1102,Sosialisasi Antikorupsi,60.81,55.96,53.38,54.3,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,Sosialisasi Antikorupsi
1102,Transparansi,77.61,78.71,74.96,75.36,PEMERINTAH KABUPATEN ACEH SINGKIL,PROVINSI ACEH,Transparansi
1103,Integritas Dalam Pelaksanaan Tugas,75.11,83.86,82.19,82.97,PEMERINTAH KABUPATEN ACEH SELATAN,PROVINSI ACEH,Integritas Dalam Pelaksanaan Tugas
1103,Internal,69.43,74.61,72.96,73.35,PEMERINTAH KABUPATEN ACEH SELATAN,PROVINSI ACEH,Internal
1103,Pengelolaan Anggaran,70.82,83.37,82.76,83.92,PEMERINTAH KABUPATEN ACEH SELATAN,PROVINSI ACEH,Pengelolaan Anggaran
1103,Pengelolaan PBJ,61.4,85.28,86.01,87.5,PEMERINTAH KABUPATEN ACEH SELATAN,PROVINSI ACEH,Pengelolaan PBJ
1103,Pengelolaan SDM,63.49,68.86,68.17,63.95,PEMERINTAH KABUPATEN ACEH SELATAN,PROVINSI ACEH,Pengelolaan SDM
1103,Perdagangan Pengaruh (Trading in Influence),72.45,67.11,61.93,64.18,PEMERINTAH KABUPATEN ACEH SELATAN,PROVINSI ACEH,Perdagangan Pengaruh (Trading in Influence)
1103,Sosialisasi Antikorupsi,66.07,59.27,55.73,56.64,PEMERINTAH KABUPATEN ACEH SELATAN,PROVINSI ACEH,Sosialisasi Antikorupsi
1103,Transparansi,80.21,79.55,79.93,79.69,PEMERINTAH KABUPATEN ACEH SELATAN,PROVINSI ACEH,Transparansi
1104,Integritas Dalam Pelaksanaan Tugas,70.9,80.22,79.02,78.13,PEMERINTAH KABUPATEN ACEH TENGGARA,PROVINSI ACEH,Integritas Dalam Pelaksanaan Tugas
1104,Internal,70.23,73.03,72.53,67.0,PEMERINTAH KABUPATEN ACEH TENGGARA,PROVINSI ACEH,Internal
1104,Pengelolaan Anggaran,69.06,81.37,82.04,77.75,PEMERINTAH KABUPATEN ACEH TENGGARA,PROVINSI ACEH,Pengelolaan Anggaran
1104,Pengelolaan PBJ,70.69,85.95,87.39,81.17,PEMERINTAH KABUPATEN ACEH TENGGARA,PROVINSI ACEH,Pengelolaan PBJ
1104,Pengelolaan SDM,64.14,69.81,69.27,55.54,PEMERINTAH KABUPATEN ACEH TENGGARA,PROVINSI ACEH,Pengelolaan SDM
1104,Perdagangan Pengaruh (Trading in Influence),75.51,67.5,66.05,59.26,PEMERINTAH KABUPATEN ACEH TENGGARA,PROVINSI ACEH,Perdagangan Pengaruh (Trading in Influence)
1104,Sosialisasi Antikorupsi,62.96,52.73,51.75,49.12,PEMERINTAH KABUPATEN ACEH TENGGARA,PROVINSI ACEH,Sosialisasi Antikorupsi
1104,Transparansi,79.49,78.23,76.55,73.55,PEMERINTAH KABUPATEN ACEH TENGGARA,PROVINSI ACEH,Transparansi
1105,Integritas Dalam Pelaksanaan Tugas,79.8,81.7,78.35,85.5,PEMERINTAH KABUPATEN ACEH TIMUR,PROVINSI ACEH,Integritas Dalam Pelaksanaan Tugas
1105,Internal,72.34,73.89,71.35,75.2,PEMERINTAH KABUPATEN ACEH TIMUR,PROVINSI ACEH,Internal
1105,Pengelolaan Anggaran,72.09,83.26,81.09,86.35,PEMERINTAH KABUPATEN ACEH TIMUR,PROVINSI ACEH,Pengelolaan Anggaran
1105,Pengelolaan PBJ,67.94,87.4,83.93,90.85,PEMERINTAH KABUPATEN ACEH TIMUR,PROVINSI ACEH,Pengelolaan PBJ
1105,Pengelolaan SDM,66.56,70.03,66.7,68.31,PEMERINTAH KABUPATEN ACEH TIMUR,PROVINSI ACEH,Pengelolaan SDM
1105,Perdagangan Pengaruh (Trading in Influence),77.21,66.53,62.14,66.63,PEMERINTAH KABUPATEN ACEH TIMUR,PROVINSI ACEH,Perdagangan Pengaruh (Trading in Influence)
1105,Sosialisasi Antikorupsi,64.39,54.65,54.37,53.75,PEMERINTAH KABUPATEN ACEH TIMUR,PROVINSI ACEH,Sosialisasi Antikorupsi
1105,Transparansi,81.53,78.53,78.18,80.76,PEMERINTAH KABUPATEN ACEH TIMUR,PROVINSI ACEH,Transparansi
1106,Integritas Dalam Pelaksanaan Tugas,75.67,80.89,82.16,84.35,PEMERINTAH KABUPATEN ACEH TENGAH,PROVINSI ACEH,Integritas Dalam Pelaksanaan Tugas
1106,Internal,70.07,73.26,72.96,72.61,PEMERINTAH KABUPATEN ACEH TENGAH,PROVINSI ACEH,Internal
1106,Pengelolaan Anggaran,70.69,79.91,82.18,84.04,PEMERINTAH KABUPATEN ACEH TENGAH,PROVINSI ACEH,Pengelolaan Anggaran
1106,Pengelolaan PBJ,63.37,83.92,87.85,90.04,PEMERINTAH KABUPATEN ACEH TENGAH,PROVINSI ACEH,Pengelolaan PBJ
1106,Pengelolaan SDM,62.0,67.67,66.58,61.8,PEMERINTAH KABUPATEN ACEH TENGAH,PROVINSI ACEH,Pengelolaan SDM
1106,Perdagangan Pengaruh (Trading in Influence),75.05,66.83,64.14,62.61,PEMERINTAH KABUPATEN ACEH TENGAH,PROVINSI ACEH,Perdagangan Pengaruh (Trading in Influence)
1106,Sosialisasi Antikorupsi,66.27,59.96,54.69,51.54,PEMERINTAH KABUPATEN ACEH TENGAH,PROVINSI ACEH,Sosialisasi Antikorupsi
1106,Transparansi,80.26,77.58,78.2,80.13,PEMERINTAH KABUPATEN ACEH TENGAH,PROVINSI ACEH,Transparansi
1107,Integritas Dalam Pelaksanaan Tugas,72.23,81.65,80.96,86.43,PEMERINTAH KABUPATEN ACEH BARAT,PROVINSI ACEH,Integritas Dalam Pelaksanaan Tugas
1107,Internal,69.38,74.49,72.4,75.3,PEMERINTAH KABUPATEN ACEH BARAT,PROVINSI ACEH,Internal
1107,Pengelolaan Anggaran,68.21,81.53,81.62,85.92,PEMERINTAH KABUPATEN ACEH BARAT,PROVINSI ACEH,Pengelolaan Anggaran
1107,Pengelolaan PBJ,64.18,83.46,84.71,90.31,PEMERINTAH KABUPATEN ACEH BARAT,PROVINSI ACEH,Pengelolaan PBJ
1107,Pengelolaan SDM,60.92,68.68,64.59,65.74,PEMERINTAH KABUPATEN ACEH BARAT,PROVINSI ACEH,Pengelolaan SDM
1107,Perdagangan Pengaruh (Trading in Influence),74.68,70.03,63.72,67.06,PEMERINTAH KABUPATEN ACEH BARAT,PROVINSI ACEH,Perdagangan Pengaruh (Trading in Influence)
1107,Sosialisasi Antikorupsi,67.76,62.24,58.97,56.45,PEMERINTAH KABUPATEN ACEH BARAT,PROVINSI ACEH,Sosialisasi Antikorupsi
1107,Transparansi,79.25,77.17,76.81,80.65,PEMERINTAH KABUPATEN ACEH BARAT,PROVINSI ACEH,Transparansi
1108,Integritas Dalam Pelaksanaan Tugas,78.09,81.05,83.38,83.56,PEMERINTAH KABUPATEN ACEH BESAR,PROVINSI ACEH,Integritas Dalam Pelaksanaan Tugas
1108,Internal,71.1,73.88,75.21,71.63,PEMERINTAH KABUPATEN ACEH BESAR,PROVINSI ACEH,Internal
1108,Pengelolaan Anggaran,70.37,84.38,86.22,83.86,PEMERINTAH KABUPATEN ACEH BESAR,PROVINSI ACEH,Pengelolaan Anggaran
1108,Pengelolaan PBJ,70.93,84.3,88.13,84.0,PEMERINTAH KABUPATEN ACEH BESAR,PROVINSI ACEH,Pengelolaan PBJ
1108,Pengelolaan SDM,63.37,70.3,72.96,61.11,PEMERINTAH KABUPATEN ACEH BESAR,PROVINSI ACEH,Pengelolaan SDM
1108,Perdagangan Pengaruh (Trading in Influence),73.19,65.41,68.16,63.63,PEMERINTAH KABUPATEN ACEH BESAR,PROVINSI ACEH,Perdagangan Pengaruh (Trading in Influence)
1108,Sosialisasi Antikorupsi,65.43,57.96,51.98,53.54,PEMERINTAH KABUPATEN ACEH BESAR,PROVINSI ACEH,Sosialisasi Antikorupsi
1108,Transparansi,78.75,78.94,81.55,77.82,PEMERINTAH KABUPATEN ACEH BESAR,PROVINSI ACEH,Transparansi
1109,Integritas Dalam Pelaksanaan Tugas,70.05,82.33,81.57,76.55,PEMERINTAH KABUPATEN PIDIE,PROVINSI ACEH,Integritas Dalam Pelaksanaan Tugas
1109,Internal,70.65,76.1,74.76,64.69,PEMERINTAH KABUPATEN PIDIE,PROVINSI ACEH,Internal
1109,Pengelolaan Anggaran,69.01,82.42,82.12,69.47,PEMERINTAH KABUPATEN PIDIE,PROVINSI ACEH,Pengelolaan Anggaran
1109,Pengelolaan PBJ,65.08,85.95,86.42,74.13,PEMERINTAH KABUPATEN PIDIE,PROVINSI ACEH,Pengelolaan PBJ
1109,Pengelolaan SDM,64.16,72.07,69.27,57.81,PEMERINTAH KABUPATEN PIDIE,PROVINSI ACEH,Pengelolaan SDM
1109,Perdagangan Pengaruh (Trading in Influence),77.51,70.95,67.87,63.22,PEMERINTAH KABUPATEN PIDIE,PROVINSI ACEH,Perdagangan Pengaruh (Trading in Influence)
1109,Sosialisasi Antikorupsi,67.61,62.51,61.28,47.81,PEMERINTAH KABUPATEN PIDIE,PROVINSI ACEH,Sosialisasi Antikorupsi
1109,Transparansi,82.32,80.02,78.59,67.73,PEMERINTAH KABUPATEN PIDIE,PROVINSI ACEH,Transparansi
