"","data.instansi","name","Agregat","Internal","Eksternal","Eksper"
"1","KEMENTERIAN KEUANGAN","BADAN KEBIJAKAN FISKAL",80.95,82.81,93.71,81.26
"2","KEMENTERIAN KEUANGAN","BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN",82.49,82.76,92.76,86.35
"3","KEMENTERIAN KEUANGAN","DIREKTORAT JENDERAL ANGGARAN",77.06,86.56,91.84,69.24
"4","KEMENTERIAN KEUANGAN","DIREKTORAT JENDERAL BEA DAN CUKAI",83.04,82.89,92.51,87.94
"5","KEMENTERIAN KEUANGAN","DIREKTORAT JENDERAL KEKAYAAN NEGARA",86.67,87.4,93.42,93.28
"6","KEMENTERIAN KEUANGAN","DIREKTORAT JENDERAL PAJAK",81.58,84.8,89.65,84.94
"7","KEMENTERIAN KEUANGAN","DIREKTORAT JENDERAL PENGELOLAAN PEMBIAYAAN DAN RISIKO",84.02,88.12,93.84,85.09
"8","KEMENTERIAN KEUANGAN","DIREKTORAT JENDERAL PERBENDAHARAAN",84.14,88.46,94.74,84.34
"9","KEMENTERIAN KEUANGAN","DIREKTORAT JENDERAL PERIMBANGAN KEUANGAN",80.34,88.37,91.21,77.23
"10","KEMENTERIAN KEUANGAN","INSPEKTORAT JENDERAL",85.92,86.73,93.64,91.6
"11","KEMENTERIAN KEUANGAN","SEKRETARIAT JENDERAL",81.98,84.78,93.99,82.18
"12","KEMENTERIAN KEUANGAN","LEMBAGA NATIONAL SINGLE WINDOW",85.45,84.8,93.36,92.17
"13","PEMERINTAH PROVINSI ACEH","BADAN KEPEGAWAIAN",NA,62.81,NA,64.92
"14","PEMERINTAH PROVINSI ACEH","BADAN KESATUAN BANGSA DAN POLITIK",NA,66.36,NA,64.92
"15","PEMERINTAH PROVINSI ACEH","BADAN PENANGGULANGAN BENCANA",NA,48.72,NA,64.92
"16","PEMERINTAH PROVINSI ACEH","BADAN PENGELOLAAN KEUANGAN",NA,67,NA,64.92
"17","PEMERINTAH PROVINSI ACEH","BADAN PENGHUBUNG",NA,69.4,NA,64.92
"18","PEMERINTAH PROVINSI ACEH","BADAN PERENCANAAN PEMBANGUNAN DAERAH",NA,71.76,NA,64.92
"19","PEMERINTAH PROVINSI ACEH","DINAS ENERGI DAN SUMBER DAYA MINERAL",NA,67.3,NA,64.92
"20","PEMERINTAH PROVINSI ACEH","DINAS KEBUDAYAAN DAN PARIWISATA",NA,54.46,NA,64.92
"21","PEMERINTAH PROVINSI ACEH","DINAS KELAUTAN DAN PERIKANAN",NA,59.6,NA,64.92
"22","PEMERINTAH PROVINSI ACEH","DINAS KESEHATAN",NA,67.43,NA,64.92
"23","PEMERINTAH PROVINSI ACEH","DINAS KOMUNIKASI, INFORMATIKA DAN PERSANDIAN",NA,66.36,NA,64.92
"24","PEMERINTAH PROVINSI ACEH","DINAS KOPERASI DAN USAHA KECIL DAN MENENGAH",NA,60.48,NA,64.92
